seed,gen,best,mean,best_H,best_F,best_Min
0,0,-29.15668503058789,-38.98776894753938,20.283406099423694,31.205240152959526,239.5
0,1,-19.408583883222494,-34.0371380727463,17.047861466523738,26.22747917926729,214.85
0,2,-19.408583883222494,-30.41162189421524,17.047861466523738,26.22747917926729,214.85
0,3,-19.408583883222494,-26.638723350833473,17.047861466523738,26.22747917926729,214.85
0,4,-18.032259405031184,-22.884231583179826,14.823853890503473,22.80592906231304,199.1
0,5,-16.78561272852147,-20.887098736560855,16.92065850711432,26.03178231863742,224.35
0,6,-16.78561272852147,-19.263228748139532,16.92065850711432,26.03178231863742,224.35
0,7,-13.065741876486413,-18.332107618927274,13.87358946570123,21.34398379338651,178.54999999999998
0,8,-13.065741876486413,-16.951413486117982,13.87358946570123,21.34398379338651,178.54999999999998
0,9,-13.01071422983146,-15.991489499958973,13.465847693165074,20.716688758715502,175.4
0,10,-11.586857075068288,-14.266628389898933,12.88223797608684,19.81882765551822,177.14999999999998
0,11,-11.486449578442567,-12.97079842066735,13.031605465701228,20.048623793386508,177.64999999999998
0,12,-11.067816682000654,-12.677923760267197,12.955918557380455,19.932182395969935,180.0
0,13,-11.067816682000654,-11.830369957467072,12.955918557380455,19.932182395969935,180.0
0,14,-10.692404672225528,-11.370530723193982,12.752217443365389,19.618796066715987,180.39999999999998
0,15,-9.78543782105809,-11.05147730685851,13.99295797608684,21.52762765551822,183.8
0,16,-9.251460268834554,-10.858745321545669,13.86293744336539,21.327596066715987,186.0
0,17,-9.251460268834554,-10.52863187779724,13.86293744336539,21.327596066715987,186.0
0,18,-9.225516078175486,-10.048940170070022,13.814800453453966,21.253539159159956,185.10000000000002
0,19,-9.156161579454123,-9.359527746921621,13.800129191630296,21.23096798712353,182.10000000000002
0,20,-8.101942418785795,-9.225990942110222,13.854961156437762,21.3153248560581,188.05
0,21,-7.968752456560166,-9.144210940952277,13.931577443365388,21.433196066715986,186.0
0,22,-7.327265990376002,-8.900703071875819,14.2030733683612,21.85088210517108,189.25
0,23,-7.260972842727465,-8.257522840055257,14.174598650950916,21.807074847616803,186.0
0,24,-7.208879964350441,-7.827738539483529,14.202106454773034,21.849394545804675,186.39999999999998
0,25,-7.11457438331488,-7.596942659624486,14.17084971622359,21.8013072557286,183.39999999999998
0,26,-7.087799533155469,-7.261884443799544,14.398078703824028,22.150890313575434,188.09999999999997
0,27,-6.645857666487406,-7.183901774027049,14.257440054757714,21.93452316116572,180.45
0,28,-6.645857666487406,-7.1082280256075885,14.257440054757714,21.93452316116572,180.45
0,29,-6.343166770420294,-6.9977259269757255,14.074400054757715,21.65292316116572,180.45
0,30,-6.1711233465719895,-6.786408513124155,13.943144879097792,21.450992121688913,177.35000000000002
0,31,-6.16712334657199,-6.5530428022734215,13.943144879097792,21.450992121688913,177.14999999999998
0,32,-6.156437283231317,-6.39779908890485,14.227077445285108,21.887811454284783,181.45
0,33,-4.879077372074986,-6.215856833322938,14.66504834522738,22.561612838811357,185.89999999999998
