seed,gen,best,mean,best_H,best_F,best_Min
0,0,13.462970010365474,11.251307673412043,29.01594430496446,44.63991431532995,216.10000000000002
0,1,14.54173183281404,12.430885501058048,31.564430546654645,48.56066237946868,245.45
0,2,15.801354137272465,13.18560989972443,34.036514826363145,52.36386896363561,252.59999999999997
0,3,15.801354137272465,14.00025090399558,34.036514826363145,52.36386896363561,252.59999999999997
0,4,16.15868613727246,14.946634776188839,34.725202826363144,53.42338896363561,253.95
0,5,16.48165768731396,15.529550811106233,35.62400713358307,54.806164820897045,270.04999999999995
0,6,16.93892656793133,15.891655134765331,35.713649340443894,54.944075908375225,229.15000000000003
0,7,17.054008177941313,16.15216818537307,36.185515187605304,55.67002336554663,243.05
0,8,17.65139172783038,16.48720530444046,37.79451320882785,58.14540493665824,269.95
0,9,17.950922294544334,16.913034740202885,38.57828426129663,59.35120655584099,282.2
0,10,18.832075684640948,17.348257886322457,39.299140557190334,60.46021624183128,232.90000000000003
0,11,19.675591937352742,17.935352867322905,41.169313597940814,63.33740553529358,249.25
0,12,19.78421877578964,18.776715888695342,41.522406297895046,63.88062507368468,257.40000000000003
0,13,19.786756957052987,19.283402693016527,41.46583434881269,63.79359130586569,254.10000000000002
0,14,20.13619887146181,19.60590408400325,42.39151218985765,65.21771106131946,269.0
0,15,21.039748044647553,19.853338112566306,44.25988922577404,68.09213727042162,279.25
0,16,21.133714148253215,20.073474729894542,44.1846119896131,67.9763261378663,265.8
0,17,21.353340140144283,20.348457099713833,44.62498883169651,68.65382897184077,267.55
0,18,21.450776900200147,20.68058645902301,44.868157100371704,69.02793400057186,270.9
0,19,21.958154148253204,21.187556171656546,45.71757198961309,70.3347261378663,265.9
0,20,22.247488722795403,21.375557441552537,46.49262191376289,71.52711063655829,278.70000000000005
0,21,22.58323581566016,21.720426278034665,46.949009371940285,72.22924518760043,269.70000000000005
0,22,23.411426716258458,22.14444052736846,48.50472104447999,74.62264776073845,270.65000000000003
0,23,23.86771538946208,22.519832096958126,49.51832858042957,76.18204396989162,279.6
0,24,23.949817074568323,23.014971293073348,49.48787456705545,76.13519164162375,269.75
0,25,25.16030671625844,23.480645341283445,51.75264104447997,79.61944776073844,270.65000000000003
0,26,25.164252562079582,23.958221244751016,51.83332618671922,79.7435787487988,274.6
0,27,25.415907845492068,24.403289451147348,52.390757427342415,80.60116527283449,279.45
0,28,25.5125918875446,24.9917252330877,52.866527791154255,81.33311967869885,295.4
0,29,25.689874759224914,25.239940987434153,52.85962455284627,81.32249931207119,277.3
0,30,26.22497209579637,25.442644617521655,53.75866246362183,82.7056345594182,272.2
0,31,26.22497209579637,25.68282035654953,53.75866246362183,82.7056345594182,272.2
0,32,27.14420741281879,25.950331026588064,55.65709948094918,85.62630689376796,282.5
0,33,27.158550513566283,26.26370612164811,55.54259381090881,85.4501443244751,274.9
0,34,27.194035771307004,26.513569962746757,55.723637860998714,85.7286736323057,281.09999999999997
0,35,27.890446513566282,26.809707322187755,56.92225781090881,87.5727043244751,276.0
0,36,27.991109077742735,27.190660525254735,57.194631144379365,87.9917402221221,280.6
0,37,28.805983192788403,27.49403753576741,58.76275450089276,90.4042376936812,283.55
0,38,28.805983192788403,28.000125965228754,58.76275450089276,90.4042376936812,283.55
0,39,28.862220327891723,28.251589463227198,58.85790918037034,90.55062950826206,283.05
0,40,29.188281206807588,28.66929524070175,59.78845081264265,91.98223201945024,300.54999999999995
0,41,29.605058988176236,28.855566709856088,60.19660954947014,92.61016853764636,280.84999999999997
0,42,29.605058988176236,28.928235199868286,60.19660954947014,92.61016853764636,280.84999999999997
0,43,29.7227849647386,29.070905632666612,60.50252922022882,93.08081418496741,285.54999999999995
0,44,29.7227849647386,29.316387537736013,60.50252922022882,93.08081418496741,285.54999999999995
0,45,29.841419589682786,29.50205349246261,60.90206495226801,93.69548454195078,295.2
0,46,30.614732717165506,29.646193813550866,62.27693218902165,95.81066490618716,291.90000000000003
0,47,30.757373891874366,29.784677375928887,62.557622942052404,96.2424968339268,292.75
0,48,30.757373891874366,29.909544294140325,62.557622942052404,96.2424968339268,292.75
0,49,30.811202032738574,30.16884277616366,62.64180377508592,96.37200580782448,291.90000000000003
0,50,30.847304454502996,30.572436007855636,62.729279701219866,96.50658415572289,293.0
0,51,31.204141891874375,30.762644642967643,63.41333494205241,97.55897683392678,294.15
0,52,31.66410427707978,30.841718058876477,64.31026508600532,98.93886936308512,296.45
0,53,31.73196236822452,30.97714691454345,64.28214439813125,98.89560676635578,288.15
0,54,31.86653389187438,31.21376737685265,64.57106294205241,99.34009683392676,290.25
0,55,31.928499159104664,31.356864334563262,64.75764129548008,99.62714045458475,294.1
0,56,32.612144133922655,31.603755002659042,65.95855339157062,101.47469752549324,290.4
0,57,32.63164413392265,31.85405786911096,65.95855339157062,101.47469752549324,288.45
0,58,32.65130715910466,32.05632188149334,66.11671329548008,101.71802045458475,295.0
0,59,33.12341002592856,32.42114001762899,66.87740433386733,102.88831435979591,288.75
0,60,33.175550682348195,32.649147550364496,67.15437983864663,103.3144305209948,298.45
